trip_time_range,end_station_name,end_lat,end_lng,Total trips
0 to 5 min,11 St & Washington St,40.74998491,-74.02715027,433
0 to 5 min,12 St & Sinatra Dr N,40.75060414,-74.02402014,246
0 to 5 min,14 St Ferry - 14 St & Shipyard Ln,40.75296063,-74.02435273,271
0 to 5 min,2 St & Park Ave,40.73915273,-74.03308198,243
0 to 5 min,4 St & Grand St,40.74225798,-74.03511107,444
0 to 5 min,4 St & River St,40.7408139,-74.0274062,275
0 to 5 min,5 Ave & E 30 St,40.7459849,-73.98629487,1
0 to 5 min,5 Corners Library,40.73496102,-74.05950308,33
0 to 5 min,6 St & Grand St,40.74439783,-74.03450087,314
0 to 5 min,7 St & Monroe St,40.74641265,-74.03797701,323
0 to 5 min,8 St & Washington St,40.74598388,-74.02819902,682
0 to 5 min,9 St HBLR - Jackson St & 8 St,40.74790721,-74.03841153,367
0 to 5 min,Adams St & 12 St,40.75188939,-74.03329163,147
0 to 5 min,Adams St & 2 St,40.73981372,-74.03690413,370
0 to 5 min,Astor Place,40.7192822,-74.07126188,33
0 to 5 min,Baldwin at Montgomery,40.7236589,-74.0641943,96
0 to 5 min,Bergen Ave,40.72210379,-74.071455,163
0 to 5 min,Bergen Ave & Sip Ave,40.73100889,-74.064437,814
0 to 5 min,Bergen Ave & Stegman St,40.70657545,-74.08670068,8
0 to 5 min,Bloomfield St & 15 St,40.75453,-74.02658,145
0 to 5 min,Broadway & W 61 St,40.7700301,-73.98196846,1
0 to 5 min,Brunswick & 6th,40.72601173,-74.05038893,221
0 to 5 min,Brunswick St,40.7241765,-74.0506564,212
0 to 5 min,Christ Hospital,40.73478582,-74.05044364,73
0 to 5 min,Church Sq Park - 5 St & Park Ave,40.74265933,-74.03223306,450
0 to 5 min,City Hall,40.7177325,-74.043845,334
0 to 5 min,City Hall - Washington St & 1 St,40.73736,-74.03097,453
0 to 5 min,Clinton St & 7 St,40.74542,-74.03332,582
0 to 5 min,Clinton St & Newark St,40.73743,-74.03571,379
0 to 5 min,Columbus Drive,40.7183552,-74.03891444,328
0 to 5 min,Columbus Park - Clinton St & 9 St,40.74816121,-74.032453,549
0 to 5 min,Communipaw & Berry Lane,40.71435837,-74.06661093,22
0 to 5 min,Dey St,40.737711,-74.066921,107
0 to 5 min,Dixon Mills,40.72163014,-74.04996783,214
0 to 5 min,E 27 St & Park Ave S,40.7427518,-73.98471572,1
0 to 5 min,Essex Light Rail,40.7127742,-74.0364857,114
0 to 5 min,Exchange Pl,40.71636596,-74.03434396,554
0 to 5 min,Fairmount Ave,40.72572614,-74.07195926,168
0 to 5 min,Glenwood Ave,40.72755147,-74.07106072,66
0 to 5 min,Grand St,40.71517768,-74.03768331,312
0 to 5 min,Grand St & 14 St,40.75409,-74.0316,307
0 to 5 min,Grant Ave & MLK Dr,40.70919832,-74.08084273,4
0 to 5 min,Greenwich Ave & Charles St,40.735238,-74.000271,1
0 to 5 min,Grove St PATH,40.71941,-74.04309,1637
0 to 5 min,Hamilton Park,40.72759597,-74.04424731,549
0 to 5 min,Harborside,40.7192517,-74.034234,323
0 to 5 min,Heights Elevator,40.74871595,-74.0404433,26
0 to 5 min,Hilltop,40.7311689,-74.0575736,74
0 to 5 min,Hoboken Ave at Monmouth St,40.73520838,-74.04696375,172
0 to 5 min,Hoboken Terminal - Hudson St & Hudson Pl,40.73593758,-74.03030455,620
0 to 5 min,Hoboken Terminal - River St & Hudson Pl,40.73606766,-74.02912706,1506
0 to 5 min,Jackson Square,40.71113,-74.0789,17
0 to 5 min,JC Medical Center,40.71539114,-74.04969156,260
0 to 5 min,Jersey & 3rd,40.72333159,-74.04595256,278
0 to 5 min,Jersey & 6th St,40.72528911,-74.04557168,227
0 to 5 min,Journal Square,40.73367,-74.0625,223
0 to 5 min,Lafayette Park,40.71346383,-74.06285852,38
0 to 5 min,Leonard Gordon Park,40.74590997,-74.05727148,59
0 to 5 min,Liberty Light Rail,40.7112423,-74.0557013,103
0 to 5 min,Lincoln Park,40.7246051,-74.07840595,20
0 to 5 min,Madison St & 1 St,40.73879,-74.0393,515
0 to 5 min,Madison St & 10 St,40.74994325,-74.03586477,355
0 to 5 min,Mama Johnson Field - 4 St & Jackson St,40.74313994,-74.04004097,187
0 to 5 min,Manila & 1st,40.72165072,-74.04288411,527
0 to 5 min,Marin Light Rail,40.71458404,-74.04281706,520
0 to 5 min,Marshall St & 2 St,40.740802,-74.042521,344
0 to 5 min,McGinley Square,40.72533993,-74.06762213,273
0 to 5 min,Monmouth and 6th,40.72568548,-74.04879034,210
0 to 5 min,Montgomery St,40.71942,-74.05099,140
0 to 5 min,Morris Canal,40.71241882,-74.03852552,325
0 to 5 min,Newark Ave,40.72152515,-74.04630454,315
0 to 5 min,Newport PATH,40.7272235,-74.0337589,368
0 to 5 min,Newport Pkwy,40.7287448,-74.0321082,203
0 to 5 min,Oakland Ave,40.7376037,-74.0524783,85
0 to 5 min,Paulus Hook,40.7141454,-74.0335519,166
0 to 5 min,Pershing Field,40.74267714,-74.05178863,51
0 to 5 min,River St & 1 St,40.73721535,-74.02886541,554
0 to 5 min,Riverview Park,40.7443187,-74.0439909,64
0 to 5 min,South Waterfront Walkway - Sinatra Dr & 1 St,40.73698222,-74.02778059,328
0 to 5 min,Southwest Park - Jackson St & Observer Hwy,40.73755127,-74.04166371,375
0 to 5 min,Stevens - River Ter & 6 St,40.74313283,-74.02698867,396
0 to 5 min,Suffolk St & Stanton St,40.72066442,-73.98517977,1
0 to 5 min,Union St,40.7182113,-74.0836394,11
0 to 5 min,Van Vorst Park,40.71848892,-74.04772663,343
0 to 5 min,W 13 St & 7 Ave,40.73781509,-73.99994661,1
0 to 5 min,W 21 St & 6 Ave,40.74173969,-73.99415556,1
0 to 5 min,Warren St,40.7211236,-74.03805095,326
0 to 5 min,Washington St,40.7242941,-74.0354826,229
0 to 5 min,Washington St & Gansevoort St,40.739323,-74.008119,1
0 to 5 min,Willow Ave & 12 St,40.75186748,-74.03037697,241
0 to 5 min,York St & Marin Blvd,40.716615,-74.04241204,82
11 to 15 min,11 St & Washington St,40.74998491,-74.02715027,131
11 to 15 min,12 Ave & W 40 St,40.76087502,-74.00277668,3
11 to 15 min,12 St & Sinatra Dr N,40.75060414,-74.02402014,114
11 to 15 min,14 St Ferry - 14 St & Shipyard Ln,40.75296063,-74.02435273,116
11 to 15 min,2 St & Park Ave,40.73915273,-74.03308198,74
11 to 15 min,4 St & Grand St,40.74225798,-74.03511107,14
11 to 15 min,4 St & River St,40.7408139,-74.0274062,81
11 to 15 min,5 Corners Library,40.73496102,-74.05950308,27
11 to 15 min,6 St & Grand St,40.74439783,-74.03450087,25
11 to 15 min,7 St & 5 Ave,40.6704922,-73.98541675,1
11 to 15 min,7 St & Monroe St,40.74641265,-74.03797701,62
11 to 15 min,8 St & Washington St,40.74598388,-74.02819902,58
11 to 15 min,9 St HBLR - Jackson St & 8 St,40.74790721,-74.03841153,68
11 to 15 min,Adams St & 12 St,40.75188939,-74.03329163,42
11 to 15 min,Adams St & 2 St,40.73981372,-74.03690413,46
11 to 15 min,Astor Place,40.7192822,-74.07126188,30
11 to 15 min,Baldwin at Montgomery,40.7236589,-74.0641943,59
11 to 15 min,Bergen Ave,40.72210379,-74.071455,44
11 to 15 min,Bergen Ave & Sip Ave,40.73100889,-74.064437,85
11 to 15 min,Bergen Ave & Stegman St,40.70657545,-74.08670068,13
11 to 15 min,Bloomfield St & 15 St,40.75453,-74.02658,87
11 to 15 min,Brunswick & 6th,40.72601173,-74.05038893,59
11 to 15 min,Brunswick St,40.7241765,-74.0506564,52
11 to 15 min,Christ Hospital,40.73478582,-74.05044364,49
11 to 15 min,Church Sq Park - 5 St & Park Ave,40.74265933,-74.03223306,57
11 to 15 min,City Hall,40.7177325,-74.043845,91
11 to 15 min,City Hall - Washington St & 1 St,40.73736,-74.03097,112
11 to 15 min,Clinton Ave & Myrtle Ave,40.693261,-73.968896,1
11 to 15 min,Clinton St & 7 St,40.74542,-74.03332,69
11 to 15 min,Clinton St & Newark St,40.73743,-74.03571,56
11 to 15 min,Columbus Drive,40.7183552,-74.03891444,104
11 to 15 min,Columbus Park - Clinton St & 9 St,40.74816121,-74.032453,67
11 to 15 min,Communipaw & Berry Lane,40.71435837,-74.06661093,66
11 to 15 min,Dey St,40.737711,-74.066921,21
11 to 15 min,Dixon Mills,40.72163014,-74.04996783,30
11 to 15 min,E 18 St & Church Ave,40.64958,-73.96316,1
11 to 15 min,Essex Light Rail,40.7127742,-74.0364857,26
11 to 15 min,Exchange Pl,40.71636596,-74.03434396,136
11 to 15 min,Fairmount Ave,40.72572614,-74.07195926,45
11 to 15 min,Glenwood Ave,40.72755147,-74.07106072,36
11 to 15 min,Grand St,40.71517768,-74.03768331,76
11 to 15 min,Grand St & 14 St,40.75409,-74.0316,93
11 to 15 min,Grant Ave & MLK Dr,40.70919832,-74.08084273,14
11 to 15 min,Greenwich St & Hubert St,40.721319,-74.010065,2
11 to 15 min,Grove St PATH,40.71941,-74.04309,165
11 to 15 min,Hamilton Park,40.72759597,-74.04424731,156
11 to 15 min,Harborside,40.7192517,-74.034234,118
11 to 15 min,Heights Elevator,40.74871595,-74.0404433,62
11 to 15 min,Hilltop,40.7311689,-74.0575736,46
11 to 15 min,Hoboken Ave at Monmouth St,40.73520838,-74.04696375,109
11 to 15 min,Hoboken Terminal - Hudson St & Hudson Pl,40.73593758,-74.03030455,158
11 to 15 min,Hoboken Terminal - River St & Hudson Pl,40.73606766,-74.02912706,230
11 to 15 min,Jackson Square,40.71113,-74.0789,25
11 to 15 min,JC Medical Center,40.71539114,-74.04969156,40
11 to 15 min,Jersey & 3rd,40.72333159,-74.04595256,44
11 to 15 min,Jersey & 6th St,40.72528911,-74.04557168,24
11 to 15 min,Journal Square,40.73367,-74.0625,31
11 to 15 min,Lafayette Park,40.71346383,-74.06285852,103
11 to 15 min,Leonard Gordon Park,40.74590997,-74.05727148,47
11 to 15 min,Liberty Light Rail,40.7112423,-74.0557013,121
11 to 15 min,Lincoln Park,40.7246051,-74.07840595,36
11 to 15 min,Madison St & 1 St,40.73879,-74.0393,77
11 to 15 min,Madison St & 10 St,40.74994325,-74.03586477,61
11 to 15 min,Mama Johnson Field - 4 St & Jackson St,40.74313994,-74.04004097,30
11 to 15 min,Manila & 1st,40.72165072,-74.04288411,65
11 to 15 min,Marin Light Rail,40.71458404,-74.04281706,83
11 to 15 min,Marshall St & 2 St,40.740802,-74.042521,41
11 to 15 min,McGinley Square,40.72533993,-74.06762213,47
11 to 15 min,Monmouth and 6th,40.72568548,-74.04879034,33
11 to 15 min,Montgomery St,40.71942,-74.05099,43
11 to 15 min,Morris Canal,40.71241882,-74.03852552,53
11 to 15 min,Newark Ave,40.72152515,-74.04630454,136
11 to 15 min,Newport PATH,40.7272235,-74.0337589,188
11 to 15 min,Newport Pkwy,40.7287448,-74.0321082,169
11 to 15 min,Oakland Ave,40.7376037,-74.0524783,33
11 to 15 min,Paulus Hook,40.7141454,-74.0335519,49
11 to 15 min,Pershing Field,40.74267714,-74.05178863,70
11 to 15 min,Prospect Pl & Nostrand Ave,40.67428,-73.9503,1
11 to 15 min,River St & 1 St,40.73721535,-74.02886541,97
11 to 15 min,River Ter & Warren St,40.71759895,-74.01587963,1
11 to 15 min,Riverview Park,40.7443187,-74.0439909,77
11 to 15 min,South Waterfront Walkway - Sinatra Dr & 1 St,40.73698222,-74.02778059,125
11 to 15 min,Southwest Park - Jackson St & Observer Hwy,40.73755127,-74.04166371,65
11 to 15 min,Stevens - River Ter & 6 St,40.74313283,-74.02698867,63
11 to 15 min,Union St,40.7182113,-74.0836394,32
11 to 15 min,Van Vorst Park,40.71848892,-74.04772663,32
11 to 15 min,Vesey Pl & River Terrace,40.7153379,-74.01658354,2
11 to 15 min,W 21 St & 6 Ave,40.74173969,-73.99415556,1
11 to 15 min,W 41 St & 8 Ave,40.75640548,-73.9900262,1
11 to 15 min,Warren St,40.7211236,-74.03805095,108
11 to 15 min,Washington St,40.7242941,-74.0354826,122
