year,start_station_id,total_bikes,started_at
2022,HB101,1512,1512
2022,HB102,2530,2530
2022,HB103,1509,1509
2022,HB105,1332,1332
2022,HB201,618,618
2022,HB202,728,728
2022,HB203,538,538
2022,HB301,599,599
2022,HB302,452,452
2022,HB303,881,881
2022,HB304,581,581
2022,HB305,676,676
2022,HB401,482,482
2022,HB402,872,872
2022,HB404,303,303
2022,HB407,590,590
2022,HB408,528,528
2022,HB409,625,625
2022,HB501,482,482
2022,HB502,935,935
2022,HB503,520,520
2022,HB505,577,577
2022,HB506,539,539
2022,HB507,328,328
2022,HB601,646,646
2022,HB602,576,576
2022,HB603,708,708
2022,HB607,871,871
2022,JC002,408,408
2022,JC003,844,844
2022,JC005,2423,2423
2022,JC006,570,570
2022,JC008,1080,1080
2022,JC009,1058,1058
2022,JC013,789,789
2022,JC014,530,530
2022,JC018,153,153
2022,JC019,404,404
2022,JC020,442,442
2022,JC022,403,403
2022,JC023,579,579
2022,JC024,418,418
2022,JC027,316,316
2022,JC032,576,576
2022,JC034,303,303
2022,JC035,569,569
2022,JC038,205,205
2022,JC051,141,141
2022,JC052,653,653
2022,JC053,94,94
2022,JC055,605,605
2022,JC057,352,352
2022,JC059,201,201
2022,JC063,74,74
2022,JC065,171,171
2022,JC066,822,822
2022,JC072,518,518
2022,JC074,501,501
2022,JC075,473,473
2022,JC076,386,386
2022,JC077,236,236
2022,JC078,487,487
2022,JC080,357,357
2022,JC081,457,457
2022,JC082,626,626
2022,JC084,225,225
2022,JC093,378,378
2022,JC094,192,192
2022,JC095,408,408
2022,JC097,120,120
2022,JC098,718,718
2022,JC099,376,376
2022,JC102,524,524
2022,JC103,568,568
2022,JC104,754,754
2022,JC105,946,946
2022,JC106,803,803
2022,JC107,32,32
2022,JC108,34,34
2022,JC109,1183,1183
2022,JC110,395,395
2022,JC115,167,167
2023,2733.03,55,55
2023,2782.02,85,85
2023,2821.05,124,124
2023,2832.03,92,92
2023,2861.02,51,51
2023,2872.02,41,41
2023,2883.03,29,29
2023,2898.01,210,210
2023,2912.08,34,34
2023,2923.01,54,54
2023,2932.03,104,104
2023,2951.05,75,75
2023,2961.05,64,64
2023,2971.02,9,9
2023,2984.04,180,180
2023,3000.08,57,57
2023,3007.05,98,98
2023,3011.03,208,208
2023,3019.02,14,14
2023,3019.03,15,15
2023,3022.01,174,174
2023,3034.02,64,64
2023,3038.08,103,103
2023,3046.03,77,77
2023,3050.03,100,100
2023,3056.05,203,203
2023,3070.04,159,159
2023,3084.05,79,79
2023,3087.01,33,33
2023,3090.06,148,148
2023,3093.07,77,77
2023,3113.06,58,58
2023,3113.10,80,80
2023,3117.05,102,102
2023,3121.01,37,37
2023,3125.09,233,233
